ap_lift,auroc,average_precision,error_fraction_threshold,family,minimum_support,n,positives,prevalence,scene,score
0.05177027731852302,0.6388888888888888,0.951770277318523,0.4,mask,10,20,18,0.9,room0,nonspatial_label_entropy_residual
-0.010407350375983393,0.2631578947368421,0.9395926496240166,0.1,mask,10,20,19,0.95,room0,num_detections
-0.010407350375983393,0.2631578947368421,0.9395926496240166,0.2,mask,10,20,19,0.95,room0,num_detections
-0.010407350375983393,0.2631578947368421,0.9395926496240166,0.3,mask,10,20,19,0.95,room0,num_detections
-0.03863773968263129,0.19444444444444442,0.8613622603173687,0.4,mask,10,20,18,0.9,room0,num_detections
0.22641196522775464,0.8095238095238095,0.9082301470459364,0.1,association,3,22,15,0.6818181818181818,office0,voxel_second_region_residual
0.1948176336334233,0.6916666666666667,0.7402721790879687,0.2,association,3,22,12,0.5454545454545454,office0,voxel_second_region_residual
0.05417016381928669,0.5470085470085471,0.4632610729101958,0.3,association,3,22,9,0.4090909090909091,office0,voxel_second_region_residual
0.14373126873126868,0.6388888888888888,0.3255494505494505,0.4,association,3,22,4,0.18181818181818182,office0,voxel_second_region_residual
0.06999984249210256,0.6000000000000001,0.7518180243102843,0.1,association,3,22,15,0.6818181818181818,office0,voxel_owner_entropy_residual
0.04423464499896401,0.525,0.5896891904535094,0.2,association,3,22,12,0.5454545454545454,office0,voxel_owner_entropy_residual
-0.0023367551876324333,0.4957264957264957,0.4067541539032767,0.3,association,3,22,9,0.4090909090909091,office0,voxel_owner_entropy_residual
0.02998737373737373,0.513888888888889,0.21180555555555555,0.4,association,3,22,4,0.18181818181818182,office0,voxel_owner_entropy_residual
0.053615804560077085,0.5142857142857142,0.7354339863782589,0.1,association,3,22,15,0.6818181818181818,office0,framebalanced_disagreement_residual
-0.07292291471858031,0.3333333333333333,0.4725316307359651,0.2,association,3,22,12,0.5454545454545454,office0,framebalanced_disagreement_residual
-0.0960341840630799,0.24786324786324787,0.3130567250278292,0.3,association,3,22,9,0.4090909090909091,office0,framebalanced_disagreement_residual
-0.00953311394487863,0.375,0.1722850678733032,0.4,association,3,22,4,0.18181818181818182,office0,framebalanced_disagreement_residual
-0.06222162598323577,0.37142857142857144,0.619596555834946,0.1,association,3,22,15,0.6818181818181818,office0,nonspatial_label_entropy_residual
