ap_minus_prevalence,auroc,average_precision,bottom20_error_rate,bottom20_errors,n,positives,prevalence,scale,scene,score,target,top20_error_rate,top20_errors,top20_n,top_bottom_ratio
0.07248518746903143,0.5729847494553377,0.6861215511053951,0.4444444444444444,4,44,27,0.6136363636363636,0.05,room0,voxel_majority_entropy,sidecar_original_association,0.6666666666666666,6,9,1.5
-0.12178530668990883,0.29520697167755994,0.4918510569464548,0.6666666666666666,6,44,27,0.6136363636363636,0.05,room0,voxel_vote_entropy,sidecar_original_association,0.2222222222222222,2,9,0.3333333333333333
-0.10944055432028821,0.3387799564270152,0.5041958093160754,0.5555555555555556,5,44,27,0.6136363636363636,0.05,room0,voxel_mean_disagreement,sidecar_original_association,0.1111111111111111,1,9,0.19999999999999998
0.04580401075785634,0.5664488017429194,0.65944037439422,0.5555555555555556,5,44,27,0.6136363636363636,0.05,room0,voxel_second_region,sidecar_original_association,0.5555555555555556,5,9,1.0
0.03915099878335171,0.5599128540305011,0.6527873624197154,0.4444444444444444,4,44,27,0.6136363636363636,0.05,room0,voxel_second_fraction,sidecar_original_association,0.5555555555555556,5,9,1.2500000000000002
0.042929292929292706,0.5294117647058824,0.6565656565656564,0.7777777777777778,7,44,27,0.6136363636363636,0.05,room0,fragmentation,sidecar_original_association,0.7777777777777778,7,9,1.0
-0.016911104381864495,0.4651416122004357,0.5967252592544992,0.6666666666666666,6,44,27,0.6136363636363636,0.05,room0,pair_conflict,sidecar_original_association,0.4444444444444444,4,9,0.6666666666666666
-0.10809757066316805,0.326797385620915,0.5055387929731956,0.6666666666666666,6,44,27,0.6136363636363636,0.05,room0,nonspatial_owner_label_entropy,sidecar_original_association,0.3333333333333333,3,9,0.5
-0.08800702442138852,0.36274509803921573,0.5256293392149751,0.6666666666666666,6,44,27,0.6136363636363636,0.05,room0,frozen_semantic_max,sidecar_original_association,0.4444444444444444,4,9,0.6666666666666666
-0.08331766709264854,0.33986928104575165,0.5303186965437151,0.8888888888888888,8,44,27,0.6136363636363636,0.05,room0,frozen_combined_max,sidecar_original_association,0.3333333333333333,3,9,0.375
0.07379564807803496,0.5860566448801743,0.6874320117143986,0.4444444444444444,4,44,27,0.6136363636363636,0.05,room0,framebalanced_majority_entropy,sidecar_original_association,0.7777777777777778,7,9,1.7500000000000002
-0.11031054744174351,0.33877995642701525,0.5033258161946201,0.4444444444444444,4,44,27,0.6136363636363636,0.05,room0,framebalanced_mean_disagreement,sidecar_original_association,0.1111111111111111,1,9,0.25
-0.12707691754069173,0.2886710239651416,0.4865594460956719,0.6666666666666666,6,44,27,0.6136363636363636,0.05,room0,persistent_conflict_fraction,sidecar_original_association,0.1111111111111111,1,9,0.16666666666666666
