case_id,scene_id,family,subtype,predicted_label,gt_label,scale,verdict,verdict_reason,baseline_predicted_objects,current_predicted_objects,baseline_object_precision_iou0p25,baseline_object_recall_iou0p25,baseline_object_f1_iou0p25,baseline_mean_maximum_purity,baseline_mean_maximum_coverage,baseline_semantic_accuracy_hungarian_positive,current_object_precision_iou0p25,current_object_recall_iou0p25,current_object_f1_iou0p25,current_mean_maximum_purity,current_mean_maximum_coverage,current_semantic_accuracy_hungarian_positive,delta_object_precision_iou0p25,delta_object_recall_iou0p25,delta_object_f1_iou0p25,delta_mean_maximum_purity,delta_mean_maximum_coverage,delta_semantic_accuracy_hungarian_positive
P03_office0,office0,spurious,unsupported_prediction_all_three_scales,potted plant,,voxel0p10,improved,F1 improved without precision loss,35,34,0.11428571428571428,0.07692307692307693,0.09195402298850575,0.6235815198429724,0.5871810052084496,0.2857142857142857,0.11764705882352941,0.07692307692307693,0.09302325581395349,0.6419221527795304,0.5871810052084496,0.2857142857142857,0.003361344537815128,0.0,0.0010692328254477412,0.018340632936557966,0.0,0.0
G01_office0,office0,geometry,G_observable_gt_incomplete_or_missed,,blinds,voxel0p025,improved,recall and coverage both improved,35,36,0.05714285714285714,0.038461538461538464,0.04597701149425287,0.5564353960705667,0.5156931803477698,0.14285714285714285,0.08333333333333333,0.057692307692307696,0.06818181818181818,0.5687566350686065,0.5492786950925654,0.25,0.026190476190476188,0.019230769230769232,0.022204806687565304,0.01232123899803983,0.03358551474479565,0.10714285714285715
G01_office0,office0,geometry,G_observable_gt_incomplete_or_missed,,blinds,voxel0p05,improved,recall and coverage both improved,35,36,0.08571428571428572,0.057692307692307696,0.06896551724137931,0.5917570178861602,0.5699704440443539,0.2857142857142857,0.1111111111111111,0.07692307692307693,0.09090909090909091,0.6030971007226558,0.605968401871811,0.375,0.02539682539682539,0.019230769230769232,0.021943573667711602,0.011340082836495569,0.03599795782745707,0.0892857142857143
G01_office0,office0,geometry,G_observable_gt_incomplete_or_missed,,blinds,voxel0p10,improved,recall and coverage both improved,35,36,0.11428571428571428,0.07692307692307693,0.09195402298850575,0.6235815198429724,0.5871810052084496,0.2857142857142857,0.1388888888888889,0.09615384615384616,0.11363636363636363,0.6340375887362231,0.6229055623063865,0.375,0.024603174603174613,0.019230769230769232,0.021682340647857887,0.01045606889325068,0.03572455709793687,0.0892857142857143
G02_room0,room0,geometry,G_observable_gt_incomplete_or_missed,,cushion,voxel0p025,improved,recall and coverage both improved,72,73,0.1111111111111111,0.08791208791208792,0.09815950920245399,0.6561278411549186,0.3909500590459881,0.125,0.1232876712328767,0.0989010989010989,0.10975609756097561,0.6608384186733444,0.43443917453619363,0.16,0.0121765601217656,0.010989010989010978,0.01159658835852162,0.00471057751842574,0.04348911549020551,0.035
G02_room0,room0,geometry,G_observable_gt_incomplete_or_missed,,cushion,voxel0p05,improved,recall and coverage both improved,72,73,0.125,0.0989010989010989,0.11042944785276074,0.7180991968419969,0.4299832397143611,0.125,0.136986301369863,0.10989010989010989,0.12195121951219512,0.7219608516797776,0.4760990328005536,0.16,0.011986301369863006,0.010989010989010992,0.011521771659434382,0.0038616548377807813,0.046115793086192514,0.035
G02_room0,room0,geometry,G_observable_gt_incomplete_or_missed,,cushion,voxel0p10,improved,recall and coverage both improved,72,73,0.18055555555555555,0.14285714285714285,0.15950920245398773,0.7537232909272749,0.452079604790914,0.125,0.1917808219178082,0.15384615384615385,0.17073170731707318,0.7570969444762163,0.4993423770972403,0.16,0.011225266362252656,0.010989010989011005,0.011222504863085458,0.00337365354894148,0.04726277230632625,0.035
G03_office0,office0,geometry,G_observable_gt_incomplete_or_missed,,tissue-paper,voxel0p025,improved,recall and coverage both improved,35,36,0.05714285714285714,0.038461538461538464,0.04597701149425287,0.5564353960705667,0.5156931803477698,0.14285714285714285,0.08333333333333333,0.057692307692307696,0.06818181818181818,0.5687566350686065,0.5537708711200713,0.14285714285714285,0.026190476190476188,0.019230769230769232,0.022204806687565304,0.01232123899803983,0.0380776907723015,0.0
G03_office0,office0,geometry,G_observable_gt_incomplete_or_missed,,tissue-paper,voxel0p05,improved,recall and coverage both improved,35,36,0.08571428571428572,0.057692307692307696,0.06896551724137931,0.5917570178861602,0.5699704440443539,0.2857142857142857,0.1111111111111111,0.07692307692307693,0.09090909090909091,0.6030971007226558,0.6084319825058924,0.2857142857142857,0.02539682539682539,0.019230769230769232,0.021943573667711602,0.011340082836495569,0.038461538461538436,0.0
G03_office0,office0,geometry,G_observable_gt_incomplete_or_missed,,tissue-paper,voxel0p10,improved,recall and coverage both improved,35,36,0.11428571428571428,0.07692307692307693,0.09195402298850575,0.6235815198429724,0.5871810052084496,0.2857142857142857,0.1388888888888889,0.09615384615384616,0.11363636363636363,0.6340375887362231,0.6256425436699881,0.2857142857142857,0.024603174603174613,0.019230769230769232,0.021682340647857887,0.01045606889325068,0.038461538461538436,0.0
C01_room0,room0,control,relative_identity_control,blinds,blinds,voxel0p025,not_scored,control/no-op,72,72,0.1111111111111111,0.08791208791208792,0.09815950920245399,0.6561278411549186,0.3909500590459881,0.125,0.1111111111111111,0.08791208791208792,0.09815950920245399,0.6561278411549186,0.3909500590459881,0.125,0.0,0.0,0.0,0.0,0.0,0.0
C01_room0,room0,control,relative_identity_control,blinds,blinds,voxel0p05,not_scored,control/no-op,72,72,0.125,0.0989010989010989,0.11042944785276074,0.7180991968419969,0.4299832397143611,0.125,0.125,0.0989010989010989,0.11042944785276074,0.7180991968419969,0.4299832397143611,0.125,0.0,0.0,0.0,0.0,0.0,0.0
C01_room0,room0,control,relative_identity_control,blinds,blinds,voxel0p10,not_scored,control/no-op,72,72,0.18055555555555555,0.14285714285714285,0.15950920245398773,0.7537232909272749,0.452079604790914,0.125,0.18055555555555555,0.14285714285714285,0.15950920245398773,0.7537232909272749,0.452079604790914,0.125,0.0,0.0,0.0,0.0,0.0,0.0
C02_office0,office0,control,geometry_ranked_non_target_control,sofa chair,sofa,voxel0p025,not_scored,control/no-op,35,35,0.05714285714285714,0.038461538461538464,0.04597701149425287,0.5564353960705667,0.5156931803477698,0.14285714285714285,0.05714285714285714,0.038461538461538464,0.04597701149425287,0.5564353960705667,0.5156931803477698,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0
C02_office0,office0,control,geometry_ranked_non_target_control,sofa chair,sofa,voxel0p05,not_scored,control/no-op,35,35,0.08571428571428572,0.057692307692307696,0.06896551724137931,0.5917570178861602,0.5699704440443539,0.2857142857142857,0.08571428571428572,0.057692307692307696,0.06896551724137931,0.5917570178861602,0.5699704440443539,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.0
C02_office0,office0,control,geometry_ranked_non_target_control,sofa chair,sofa,voxel0p10,not_scored,control/no-op,35,35,0.11428571428571428,0.07692307692307693,0.09195402298850575,0.6235815198429724,0.5871810052084496,0.2857142857142857,0.11428571428571428,0.07692307692307693,0.09195402298850575,0.6235815198429724,0.5871810052084496,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.0
C03_room0,room0,control,geometry_ranked_non_target_control,pillow,cushion,voxel0p025,not_scored,control/no-op,72,72,0.1111111111111111,0.08791208791208792,0.09815950920245399,0.6561278411549186,0.3909500590459881,0.125,0.1111111111111111,0.08791208791208792,0.09815950920245399,0.6561278411549186,0.3909500590459881,0.125,0.0,0.0,0.0,0.0,0.0,0.0
C03_room0,room0,control,geometry_ranked_non_target_control,pillow,cushion,voxel0p05,not_scored,control/no-op,72,72,0.125,0.0989010989010989,0.11042944785276074,0.7180991968419969,0.4299832397143611,0.125,0.125,0.0989010989010989,0.11042944785276074,0.7180991968419969,0.4299832397143611,0.125,0.0,0.0,0.0,0.0,0.0,0.0
C03_room0,room0,control,geometry_ranked_non_target_control,pillow,cushion,voxel0p10,not_scored,control/no-op,72,72,0.18055555555555555,0.14285714285714285,0.15950920245398773,0.7537232909272749,0.452079604790914,0.125,0.18055555555555555,0.14285714285714285,0.15950920245398773,0.7537232909272749,0.452079604790914,0.125,0.0,0.0,0.0,0.0,0.0,0.0
C04_office0,office0,control,geometry_ranked_non_target_control,tv,tv-screen,voxel0p025,not_scored,control/no-op,35,35,0.05714285714285714,0.038461538461538464,0.04597701149425287,0.5564353960705667,0.5156931803477698,0.14285714285714285,0.05714285714285714,0.038461538461538464,0.04597701149425287,0.5564353960705667,0.5156931803477698,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0
C04_office0,office0,control,geometry_ranked_non_target_control,tv,tv-screen,voxel0p05,not_scored,control/no-op,35,35,0.08571428571428572,0.057692307692307696,0.06896551724137931,0.5917570178861602,0.5699704440443539,0.2857142857142857,0.08571428571428572,0.057692307692307696,0.06896551724137931,0.5917570178861602,0.5699704440443539,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.0
C04_office0,office0,control,geometry_ranked_non_target_control,tv,tv-screen,voxel0p10,not_scored,control/no-op,35,35,0.11428571428571428,0.07692307692307693,0.09195402298850575,0.6235815198429724,0.5871810052084496,0.2857142857142857,0.11428571428571428,0.07692307692307693,0.09195402298850575,0.6235815198429724,0.5871810052084496,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.0
